jobid	jobname	maxrss	maxvmsize	elapsed	state
5603523_0.batch	batch	6701680K	7852328K	00:15:27	COMPLETED
5603523_0.extern	extern	4K	4K	00:15:27	COMPLETED
5603523_1.batch	batch	6317756K	7532956K	00:14:55	COMPLETED
5603523_1.extern	extern	0	0	00:14:55	COMPLETED
5603523_2.batch	batch	6331512K	7544148K	00:14:54	COMPLETED
5603523_2.extern	extern	0	0	00:14:54	COMPLETED
5603523_3.batch	batch	6549.50M	7861192K	00:15:24	COMPLETED
5603523_3.extern	extern	28K	28K	00:15:24	COMPLETED
5603523_4.batch	batch	6314076K	7535496K	00:14:52	COMPLETED
5603523_4.extern	extern	0	0	00:14:52	COMPLETED
5603523_5.batch	batch	6699544K	7861564K	00:15:26	COMPLETED
5603523_5.extern	extern	12K	12K	00:15:26	COMPLETED
5603523_6.batch	batch	6339532K	7552228K	00:14:52	COMPLETED
5603523_6.extern	extern	0	0	00:14:52	COMPLETED
5603523_7.batch	batch	6700276K	7859844K	00:15:27	COMPLETED
5603523_7.extern	extern	64K	64K	00:15:27	COMPLETED
5603523_8.batch	batch	6321504K	7543608K	00:14:51	COMPLETED
5603523_8.extern	extern	0	0	00:14:51	COMPLETED
5603523_9.batch	batch	6702420K	7862084K	00:15:24	COMPLETED
5603523_9.extern	extern	0	0	00:15:24	COMPLETED
