jobid	jobname	maxrss	maxvmsize	elapsed	state
5462086_0.batch	batch	6052408K	7912768K	00:13:29	COMPLETED
5462086_0.extern	extern	56K	56K	00:13:29	COMPLETED
5462086_1.batch	batch	6048908K	7782472K	00:13:39	COMPLETED
5462086_1.extern	extern	52K	52K	00:13:39	COMPLETED
5462086_2.batch	batch	6047008K	7910952K	00:13:28	COMPLETED
5462086_2.extern	extern	12K	12K	00:13:28	COMPLETED
5462086_3.batch	batch	6051596K	7926948K	00:13:38	COMPLETED
5462086_3.extern	extern	28K	28K	00:13:38	COMPLETED
5462086_4.batch	batch	6049208K	7732.50M	00:13:38	COMPLETED
5462086_4.extern	extern	36K	36K	00:13:38	COMPLETED
5462086_5.batch	batch	6047728K	7767260K	00:13:25	COMPLETED
5462086_5.extern	extern	68K	68K	00:13:25	COMPLETED
5462086_6.batch	batch	6044668K	7919492K	00:13:38	COMPLETED
5462086_6.extern	extern	52K	52K	00:13:38	COMPLETED
5462086_7.batch	batch	6050092K	7913304K	00:13:28	COMPLETED
5462086_7.extern	extern	68K	68K	00:13:28	COMPLETED
5462086_8.batch	batch	6049204K	7875576K	00:13:30	COMPLETED
5462086_8.extern	extern	64K	64K	00:13:30	COMPLETED
5462086_9.batch	batch	6048720K	7923244K	00:13:37	COMPLETED
5462086_9.extern	extern	64K	64K	00:13:37	COMPLETED
