gene_id,transcript_id,mean_te
ENSG00000187634.12,ENST00000342066.8,-0.689082338685714
ENSG00000187961.14,ENST00000338591.8,-0.795443622903226
ENSG00000188290.11,ENST00000304952.11,-0.0882309236716418
ENSG00000187608.10,ENST00000649529.1,0.791387514705128
ENSG00000188157.15,ENST00000379370.7,0.0968057586756757
ENSG00000131591.17,ENST00000421241.6,-0.191940040985714
ENSG00000078808.18,ENST00000360001.11,0.734010135871795
ENSG00000176022.7,ENST00000379198.5,0.0617067570277778
ENSG00000160087.21,ENST00000349431.11,0.522967552831169
ENSG00000131584.19,ENST00000354700.10,-0.772671051871429
ENSG00000169972.12,ENST00000379031.10,0.116924583302632
ENSG00000127054.21,ENST00000435064.6,0.380809502538462
ENSG00000224051.7,ENST00000343938.9,0.19311599112
ENSG00000107404.20,ENST00000378888.10,-1.415393564125
ENSG00000162576.16,ENST00000309212.10,0.544029794865385
ENSG00000175756.13,ENST00000338370.7,1.01997824934615
ENSG00000221978.12,ENST00000400809.8,-0.738374785171053
ENSG00000242485.6,ENST00000344843.12,1.07926768074359
ENSG00000179403.12,ENST00000476993.2,0.755735802936508
ENSG00000160072.20,ENST00000673477.1,-0.765624389460317
ENSG00000197785.14,ENST00000378756.8,0.18132902432
ENSG00000160075.12,ENST00000291386.4,0.655668023269231
ENSG00000228594.4,ENST00000422725.4,0.13776524884
ENSG00000248333.8,ENST00000341832.10,-0.101828132
ENSG00000189339.12,ENST00000617444.5,-0.605498356957746
ENSG00000008128.23,ENST00000404249.8,-0.352399505580645
ENSG00000008130.15,ENST00000341426.9,-0.462175145355263
ENSG00000078369.18,ENST00000378609.9,1.09923029170513
ENSG00000067606.17,ENST00000378567.8,-0.674072567081967
ENSG00000162585.17,ENST00000378546.9,0.165360999506493
ENSG00000157933.10,ENST00000378536.5,-0.373070289791667
ENSG00000116151.14,ENST00000378531.8,0.153672623147059
ENSG00000157916.20,ENST00000605895.6,0.971728599474359
ENSG00000157911.11,ENST00000447513.7,-0.327657831054794
ENSG00000157870.17,ENST00000419916.8,0.970410468260274
ENSG00000130762.15,ENST00000378378.9,-0.2568287821875
