jobid	jobname	maxrss	maxvmsize	elapsed	state
5474697_0.batch	batch	6046224K	7909808K	00:13:30	COMPLETED
5474697_0.extern	extern	0	0	00:13:30	COMPLETED
5474697_1.batch	batch	6052844K	7912684K	00:13:30	COMPLETED
5474697_1.extern	extern	0	0	00:13:30	COMPLETED
5474697_2.batch	batch	6053332K	7777428K	00:13:36	COMPLETED
5474697_2.extern	extern	24K	24K	00:13:36	COMPLETED
5474697_3.batch	batch	6047756K	7914160K	00:13:31	COMPLETED
5474697_3.extern	extern	16K	16K	00:13:31	COMPLETED
5474697_4.batch	batch	6047924K	7911824K	00:13:31	COMPLETED
5474697_4.extern	extern	44K	44K	00:13:31	COMPLETED
5474697_5.batch	batch	6048568K	7767980K	00:13:27	COMPLETED
5474697_5.extern	extern	64K	64K	00:13:27	COMPLETED
5474697_6.batch	batch	7760372K	10468932K	00:16:18	COMPLETED
5474697_6.extern	extern	0	0	00:16:18	COMPLETED
5474697_7.batch	batch	6047540K	7910396K	00:13:30	COMPLETED
5474697_7.extern	extern	24K	24K	00:13:30	COMPLETED
5474697_8.batch	batch	6706252K	7868332K	00:15:26	COMPLETED
5474697_8.extern	extern	0	0	00:15:26	COMPLETED
5474697_9.batch	batch	7756600K	9004948K	00:16:09	COMPLETED
5474697_9.extern	extern	0	0	00:16:09	COMPLETED
