jobid	jobname	maxrss	maxvmsize	elapsed	state
5704273_0.batch	batch	6702580K	7862332K	00:15:25	COMPLETED
5704273_0.extern	extern	68K	68K	00:15:25	COMPLETED
5704273_1.batch	batch	6383084K	7628388K	00:14:46	COMPLETED
5704273_1.extern	extern	0	0	00:14:46	COMPLETED
5704273_2.batch	batch	6121908K	7339920K	00:14:58	COMPLETED
5704273_2.extern	extern	0	0	00:14:58	COMPLETED
5704273_3.batch	batch	7756200K	8995900K	00:16:18	COMPLETED
5704273_3.extern	extern	0	0	00:16:18	COMPLETED
5704273_4.batch	batch	7758988K	8951904K	00:16:20	COMPLETED
5704273_4.extern	extern	0	0	00:16:20	COMPLETED
5704273_5.batch	batch	7757864K	9499564K	00:16:29	COMPLETED
5704273_5.extern	extern	0	0	00:16:29	COMPLETED
5704273_6.batch	batch	7402004K	8624540K	00:15:03	COMPLETED
5704273_6.extern	extern	0	0	00:15:03	COMPLETED
5704273_7.batch	batch	7399684K	9107836K	00:15:06	COMPLETED
5704273_7.extern	extern	0	0	00:15:06	COMPLETED
5704273_8.batch	batch	6386516K	7631624K	00:14:45	COMPLETED
5704273_8.extern	extern	0	0	00:14:45	COMPLETED
5704273_9.batch	batch	6705744K	7865388K	00:15:54	COMPLETED
5704273_9.extern	extern	0	0	00:15:54	COMPLETED
