jobid	jobname	maxrss	maxvmsize	elapsed	state
5479155_0.batch	batch	6704408K	7875404K	00:15:23	COMPLETED
5479155_0.extern	extern	0	0	00:15:23	COMPLETED
5479155_1.batch	batch	6383592K	7631364K	00:14:47	COMPLETED
5479155_1.extern	extern	68K	68K	00:14:47	COMPLETED
5479155_2.batch	batch	6384192K	7629488K	00:14:47	COMPLETED
5479155_2.extern	extern	0	0	00:14:47	COMPLETED
5479155_3.batch	batch	6698904K	7858432K	00:15:24	COMPLETED
5479155_3.extern	extern	0	0	00:15:24	COMPLETED
5479155_4.batch	batch	6384560K	7629832K	00:14:46	COMPLETED
5479155_4.extern	extern	0	0	00:14:46	COMPLETED
5479155_5.batch	batch	6699144K	7858664K	00:15:25	COMPLETED
5479155_5.extern	extern	0	0	00:15:25	COMPLETED
5479155_6.batch	batch	6387444K	7632744K	00:14:46	COMPLETED
5479155_6.extern	extern	0	0	00:14:46	COMPLETED
5479155_7.batch	batch	6705456K	7865104K	00:15:25	COMPLETED
5479155_7.extern	extern	4K	4K	00:15:25	COMPLETED
5479155_8.batch	batch	6384328K	7629712K	00:14:46	COMPLETED
5479155_8.extern	extern	0	0	00:14:46	COMPLETED
5479155_9.batch	batch	6701220K	7860820K	00:15:22	COMPLETED
5479155_9.extern	extern	0	0	00:15:22	COMPLETED
