jobid	jobname	maxrss	maxvmsize	elapsed	state
5457131_0.batch	batch	6048804K	7769340K	00:13:38	COMPLETED
5457131_0.extern	extern	0	0	00:13:38	COMPLETED
5457131_1.batch	batch	6047760K	7777380K	00:13:38	COMPLETED
5457131_1.extern	extern	0	0	00:13:38	COMPLETED
5457131_2.batch	batch	6050888K	7926500K	00:13:40	COMPLETED
5457131_2.extern	extern	28K	28K	00:13:40	COMPLETED
5457131_3.batch	batch	6047544K	7776376K	00:13:35	COMPLETED
5457131_3.extern	extern	60K	60K	00:13:35	COMPLETED
5457131_4.batch	batch	6045608K	7921020K	00:13:38	COMPLETED
5457131_4.extern	extern	68K	68K	00:13:38	COMPLETED
5457131_5.batch	batch	6048496K	7843900K	00:13:36	COMPLETED
5457131_5.extern	extern	68K	68K	00:13:36	COMPLETED
5457131_6.batch	batch	6047296K	7920320K	00:13:40	COMPLETED
5457131_6.extern	extern	64K	64K	00:13:40	COMPLETED
5457131_7.batch	batch	6047160K	7840956K	00:13:35	COMPLETED
5457131_7.extern	extern	64K	64K	00:13:35	COMPLETED
5457131_8.batch	batch	6049344K	7924752K	00:13:39	COMPLETED
5457131_8.extern	extern	64K	64K	00:13:39	COMPLETED
5457131_9.batch	batch	6052400K	7847872K	00:13:34	COMPLETED
5457131_9.extern	extern	56K	56K	00:13:34	COMPLETED
