jobid	jobname	maxrss	maxvmsize	elapsed	state
5630646_0.batch	batch	6346712K	7556440K	00:14:53	COMPLETED
5630646_0.extern	extern	0	0	00:14:53	COMPLETED
5630646_1.batch	batch	6345536K	7547240K	00:14:51	COMPLETED
5630646_1.extern	extern	0	0	00:14:51	COMPLETED
5630646_2.batch	batch	6348356K	7571740K	00:14:51	COMPLETED
5630646_2.extern	extern	0	0	00:14:51	COMPLETED
5630646_3.batch	batch	6351652K	7566944K	00:14:49	COMPLETED
5630646_3.extern	extern	0	0	00:14:49	COMPLETED
5630646_4.batch	batch	6345060K	7546804K	00:14:53	COMPLETED
5630646_4.extern	extern	0	0	00:14:53	COMPLETED
5630646_5.batch	batch	6345076K	7568540K	00:14:50	COMPLETED
5630646_5.extern	extern	0	0	00:14:50	COMPLETED
5630646_6.batch	batch	6348928K	7550740K	00:14:52	COMPLETED
5630646_6.extern	extern	0	0	00:14:52	COMPLETED
5630646_7.batch	batch	6347960K	7552268K	00:14:51	COMPLETED
5630646_7.extern	extern	0	0	00:14:51	COMPLETED
5630646_8.batch	batch	6355276K	7556920K	00:14:52	COMPLETED
5630646_8.extern	extern	0	0	00:14:52	COMPLETED
5630646_9.batch	batch	6329996K	7545024K	00:14:52	COMPLETED
5630646_9.extern	extern	0	0	00:14:52	COMPLETED
