jobid	jobname	maxrss	maxvmsize	elapsed	state
5480836_0.batch	batch	6704740K	7873964K	00:15:23	COMPLETED
5480836_0.extern	extern	0	0	00:15:23	COMPLETED
5480836_1.batch	batch	6385104K	7630436K	00:14:48	COMPLETED
5480836_1.extern	extern	32K	32K	00:14:48	COMPLETED
5480836_2.batch	batch	6384116K	7629504K	00:14:46	COMPLETED
5480836_2.extern	extern	0	0	00:14:46	COMPLETED
5480836_3.batch	batch	6698792K	7858356K	00:15:24	COMPLETED
5480836_3.extern	extern	0	0	00:15:24	COMPLETED
5480836_4.batch	batch	6385952K	7631220K	00:14:47	COMPLETED
5480836_4.extern	extern	0	0	00:14:47	COMPLETED
5480836_5.batch	batch	6700044K	7859588K	00:15:26	COMPLETED
5480836_5.extern	extern	0	0	00:15:26	COMPLETED
5480836_6.batch	batch	6382752K	7627968K	00:14:47	COMPLETED
5480836_6.extern	extern	24K	24K	00:14:47	COMPLETED
5480836_7.batch	batch	6700240K	7859872K	00:15:27	COMPLETED
5480836_7.extern	extern	0	0	00:15:27	COMPLETED
5480836_8.batch	batch	6323704K	7536460K	00:14:49	COMPLETED
5480836_8.extern	extern	0	0	00:14:49	COMPLETED
5480836_9.batch	batch	6701368K	7860928K	00:15:25	COMPLETED
5480836_9.extern	extern	0	0	00:15:25	COMPLETED
