jobid	jobname	maxrss	maxvmsize	elapsed	state
5481976_0.batch	batch	6701140K	7860864K	00:15:26	COMPLETED
5481976_0.extern	extern	0	0	00:15:26	COMPLETED
5481976_1.batch	batch	6383768K	7628240K	00:14:46	COMPLETED
5481976_1.extern	extern	0	0	00:14:46	COMPLETED
5481976_2.batch	batch	6382560K	7627928K	00:14:48	COMPLETED
5481976_2.extern	extern	0	0	00:14:48	COMPLETED
5481976_3.batch	batch	6695564K	7855076K	00:15:25	COMPLETED
5481976_3.extern	extern	0	0	00:15:25	COMPLETED
5481976_4.batch	batch	6381500K	7626756K	00:14:48	COMPLETED
5481976_4.extern	extern	0	0	00:14:48	COMPLETED
5481976_5.batch	batch	6701768K	7872872K	00:15:25	COMPLETED
5481976_5.extern	extern	0	0	00:15:25	COMPLETED
5481976_6.batch	batch	6047484K	7877296K	00:13:32	COMPLETED
5481976_6.extern	extern	28K	28K	00:13:32	COMPLETED
5481976_7.batch	batch	6704408K	7863940K	00:15:24	COMPLETED
5481976_7.extern	extern	0	0	00:15:24	COMPLETED
5481976_8.batch	batch	6049332K	7877496K	00:13:34	COMPLETED
5481976_8.extern	extern	28K	28K	00:13:34	COMPLETED
5481976_9.batch	batch	6696988K	7856516K	00:15:25	COMPLETED
5481976_9.extern	extern	0	0	00:15:25	COMPLETED
